Model, UI, Lauf, Frage 1, Frage 2, Frage 3, Frage 4, Frage 5, Frage 6, Frage 7, Frage 8, Frage 9, Frage 10, Frage 11, Frage 12, Frage 13, Frage 14, Frage 15, Frage 16, Frage 17, Frage 18, Frage 19, Frage 20, Frage 21, Frage 22, Frage 23, Frage 24, Frage 25, Frage 26, Frage 27, Frage 28, Frage 29, Frage 30, Frage 31, Frage 32, Frage 33, Frage 34, Frage 35, Frage 36, Frage 37, Frage 38
ChatGPT Auto, Native,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPT-5 mini, T3 Chat,1,-1,1,-1,1,-1,0,1,-1,-1,1,0,1,1,-1,1,1,1,1,-1,1,1,0,-1,1,0,-1,1,-1,1,1,1,0,1,-1,-1,0,1,1
ChatGPT Auto,Native,2,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,1,-1,1,0,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,1,1
ChatGPT Auto,Native,3,-1,1,-1,1,-1,0,1,0,-1,1,1,1,1,-1,1,0,1,1,-1,1,1,-1,0,1,-1,0,1,-1,1,1,1,0,1,-1,-1,1,1,1
ChatGPT Auto,Native,4,-1,1,-1,1,-1,1,1,-1,-1,1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,-,1,-1,-1,1,1,1
Grok Schnell,Native,1,1,-1,1,0,1,-1,0,1,-1,1,1,-1,1,-1,0,1,1,-1,1,0,-1,0,1,1,-1,1,-1,0,-1,1,0,1,1,1,1,1,1,1
Grok 4.20 (Beta),Native,1,1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,1,0,1,-1,1,1,1,1,0
Kimi K2,T3 Chat,1,0,1,-1,1,-1,0,1,-1,0,1,0,1,1,-1,1,0,1,1,-1,1,1,1,0,0,1,-1,1,-1,1,1,1,0,1,-1,-1,0,1,1
Kimi K2.5,T3 Chat,1,0,0,-1,1,-1,0,0,-1,0,1,0,1,1,-1,0,0,1,0,-1,1,0,1,-1,0,-1,-1,0,-1,1,1,1,0,1,-1,-1,0,1,1
Llama 4 Scout,T3 Chat,1,0,1,-1,1,-1,0,1,-1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,-1,1,1,1,0,1,-1,-1,0,1,1
Mistral Auto,Native,1,0,1,-1,1,-1,1,1,0,0,1,0,1,1,-1,1,0,1,1,-1,1,1,1,-1,0,1,0,1,-1,1,1,1,1,1,-1,-1,0,1,1
Mistral Auto,Native,2,0,1,-1,1,-1,1,1,0,0,1,0,1,1,-1,1,0,1,1,-1,1,1,1,-1,0,1,0,1,-1,1,1,1,1,1,-1,-1,0,1,1
Grok Schnell,Native,2,1,1,1,1,1,0,-1,1,-1,1,1,-1,1,-1,0,1,1,-1,1,0,-1,1,-1,1,-1,1,-1,-1,0,1,1,1,1,-1,1,1,1,1
Grok 4.20 (Beta),Native,2,1,-1,1,-1,1,1,-1,1,-1,1,1,0,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,0,1,0,1,-1,1,1,1,1,1
