Model, UI, Lauf, KlimalisteBW, Die Linke, Volt, Die PARTEI, Tierschutzpartei, PdH, GRÜNE, SPD, PdF, ÖDP, Verjüngungsforschung, BSW, FREIE WÄHLER, dieBasis, PDR, Die Gerechtigkeitspartei, CDU, FDP, Bündnis C, WerteUnion, AfD
ChatGPT Auto, Native,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPT-5 mini, T3 Chat,1, 85.5, 84.5, 82.9, 81.6, 81.6, 80.3, 80.3, 73.7, 64.5, 60.5, 57.9, 57.9, 56.6, 52.6,50,50, 44.7, 38.2, 36.8, 23.7, 23.7
ChatGPT Auto,Native,2,78.9,77.6,81.6,77.6,75,73.7,84.2,72.4,63.2,53.9,51.3,59.2,63.2,51.3,46.1,48.7,51.3,44.7,43.4,27.6,30.3
ChatGPT Auto,Native,3,77.6,76.3,80.3,76.3,76.3,75,82.9,73.7,61.8,57.9,57.9,57.9,64.5,52.6,52.6,52.6,52.6,43.4,42.1,28.9,28.9
ChatGPT Auto,Native,4,79.7,81.1,79.7,81.1,78.4,73.7,87.8,78.4,66.2,59.5,50,56.8,55.4,45.9,48.6,48.6,48.6,41.9,40.5,24.3,27
Grok Schnell,Native,1,39.5,30.3,47.4,46.1,30.3,50,57.9,56.6,63.2,59.2,59.2,64.5,76.3,43.4,51.3,75,80.3,84.2,61.8,72.4,67.1
Grok 4.20 (Beta),Native,1,32.9,28.9,46.1,42.1,28.9,48.7,56.6,55.3,61.8,52.6,52.6,68.4,69.7,47.4,55.3,68.4,78.9,82.9,57.9,76.3,63.2
Kimi K2,T3 Chat,1,86.8,88.2,84.2,80.3,85.5,76.3,78.9,75,63.2,56.6,61.8,53.9,52.6,51.3,56.6,46.1,40.8,34.2,27.6,19.7,17.1
Kimi K2.5,T3 Chat,1,80.3,78.9,80.3,73.7,76.3,77.6,77.6,68.4,69.7,60.5,68.4,55.3,53.9,50,52.6,50,44.7,43.4,36.8,28.9,26.3
Llama 4 Scout,T3 Chat,1,81.6,80.3,78.9,75,77.6,73.7,73.7,72.4,60.5,56.6,69.7,53.9,55.3,48.7,56.6,48.7,46.1,39.5,35.5,25,25
Mistral Auto,Native,1,85.5,86.8,88.2,78.9,86.8,77.6,82.9,81.6,67.1,60.5,60.5,52.6,53.9,47.4,57.9,47.4,42.1,32.9,31.6,21.1,21.1
Mistral Auto,Native,2,85.5,86.8,88.2,78.9,86.8,77.6,82.9,81.6,67.1,60.5,60.5,52.6,53.9,47.4,57.9,47.4,42.1,32.9,31.6,21.1,21.1
Grok Schnell,Native,2,51.3,44.7,61.8,55.3,44.7,64.5,72.4,65.8,67.1,55.3,55.3,60.5,77.6,42.1,47.4,63.2,68.4,72.4,55.3,60.5,57.9
Grok 4.20 (Beta),Native,2,42.1,35.5,52.6,48.7,35.5,55.3,63.2,59.2,65.8,51.3,53.9,64.5,68.4,40.8,51.3,69.7,72.4,78.9,53.9,69.7,59.2
